Match Number,Round Number,Date,Location,Home Team,Away Team,Result
38,1,26/10/2025 18:00,Capital One Arena,Washington Wizards,Charlotte Hornets,113 - 139
54,2,28/10/2025 19:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,134 - 139
84,2,01/11/2025 19:00,Capital One Arena,Washington Wizards,Orlando Magic,94 - 125
123,3,07/11/2025 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,114 - 148
133,3,08/11/2025 19:00,Capital One Arena,Washington Wizards,Dallas Mavericks,105 - 111
194,4,16/11/2025 18:00,Capital One Arena,Washington Wizards,Brooklyn Nets,106 - 129
261,6,25/11/2025 19:00,Capital One Arena,Washington Wizards,Atlanta Hawks,132 - 113
302,6,01/12/2025 19:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,129 - 126
325,7,04/12/2025 19:00,Capital One Arena,Washington Wizards,Boston Celtics,101 - 146
342,7,06/12/2025 19:00,Capital One Arena,Washington Wizards,Atlanta Hawks,116 - 131
1212,7,12/12/2025 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,126 - 130
390,8,21/12/2025 19:00,Capital One Arena,Washington Wizards,San Antonio Spurs,113 - 124
421,9,26/12/2025 19:00,Capital One Arena,Washington Wizards,Toronto Raptors,138 - 117
439,9,28/12/2025 18:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,116 - 112
444,9,29/12/2025 19:00,Capital One Arena,Washington Wizards,Phoenix Suns,101 - 115
473,10,02/01/2026 19:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
494,10,04/01/2026 18:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,
507,10,06/01/2026 19:00,Capital One Arena,Washington Wizards,Orlando Magic,
530,11,09/01/2026 19:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,
608,12,19/01/2026 15:00,Capital One Arena,Washington Wizards,LA Clippers,
629,13,22/01/2026 19:00,Capital One Arena,Washington Wizards,Denver Nuggets,
664,13,27/01/2026 19:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,
681,14,29/01/2026 19:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
688,14,30/01/2026 19:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,
707,14,01/02/2026 18:00,Capital One Arena,Washington Wizards,Sacramento Kings,
718,14,03/02/2026 19:00,Capital One Arena,Washington Wizards,New York Knicks,
758,15,08/02/2026 14:00,Capital One Arena,Washington Wizards,Miami Heat,
795,16,19/02/2026 19:00,Capital One Arena,Washington Wizards,Indiana Pacers,
803,16,20/02/2026 19:00,Capital One Arena,Washington Wizards,Indiana Pacers,
822,16,22/02/2026 18:00,Capital One Arena,Washington Wizards,Charlotte Hornets,
865,17,28/02/2026 19:00,Capital One Arena,Washington Wizards,Toronto Raptors,
879,17,02/03/2026 19:00,Capital One Arena,Washington Wizards,Houston Rockets,
900,18,05/03/2026 19:00,Capital One Arena,Washington Wizards,Utah Jazz,
984,19,16/03/2026 19:00,Capital One Arena,Washington Wizards,Golden State Warriors,
993,19,17/03/2026 19:00,Capital One Arena,Washington Wizards,Detroit Pistons,
1009,20,19/03/2026 19:00,Capital One Arena,Washington Wizards,Detroit Pistons,
1022,20,21/03/2026 17:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,
1105,22,01/04/2026 19:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,
1148,22,07/04/2026 19:00,Capital One Arena,Washington Wizards,Chicago Bulls,
1166,23,09/04/2026 19:00,Capital One Arena,Washington Wizards,Chicago Bulls,
1172,23,10/04/2026 19:00,Capital One Arena,Washington Wizards,Miami Heat,